  883 	     # 	     % 	     & 	     @ 	     A 	     C 	     D 	     E 	     I 	     M 	     N 	     O 	     Q 	     R 	     S 	     T 	     U 	     Z 	     ^ 	     a 	     b 	     c 	     d 	     e 	     f 	     g 	     h 	     i 	     j 	     k 	     l 	     m 	     n 	     o 	     p 	     q 	     r 	     s 	     t 	     u 	     v 	     x 	     z 	     ~ 	     _ 	       	 
    i 	     1 	     0 	     0 	     0 	     1 	     1 	     3 	     6 	   492 	     0 	     0 	     0 	     2 	     2 	     0 	     4 	     6 	     9 	     9 	    20 	     3 	     1 	    12 	   799 	     1 	     9 	     6 	  3160 	   292 	     5 	     8 	    13 	    18 	    14 	     3 	     0 	    29 	     5 	     9 	    23 	    29 	     4 	     4 	    39 	     0 	   294 	 
    j 	     0 	     0 	     0 	     0 	     0 	     2 	     5 	     4 	    81 	     0 	     0 	     0 	     0 	     2 	     1 	     6 	     1 	    14 	     0 	     0 	     2 	     0 	    12 	    90 	     0 	    10 	    12 	   161 	  1199 	     4 	    31 	     2 	     6 	     0 	     1 	     0 	    15 	     0 	     2 	     0 	    27 	     2 	     4 	    42 	     0 	   143 	 
    k 	     0 	     0 	     0 	     1 	     2 	     4 	     0 	     0 	     4 	     0 	     1 	     0 	     0 	     2 	     2 	    18 	     2 	     4 	     2 	     6 	     2 	    17 	     6 	     7 	     3 	    44 	     2 	     1 	     0 	  2081 	     6 	     4 	     9 	     9 	    80 	     0 	     8 	     9 	    70 	     5 	     5 	    15 	     2 	     2 	     0 	    48 	 
    l 	     0 	     5 	     0 	     4 	    29 	     0 	     4 	    11 	     2 	     0 	     0 	     3 	     0 	     1 	     0 	     0 	     0 	     4 	     2 	   111 	     3 	     2 	    21 	    66 	     8 	     0 	    63 	    21 	    28 	     0 	  2027 	    19 	    50 	   294 	     4 	     0 	   113 	     8 	     6 	    37 	   116 	     2 	    34 	     6 	     0 	   238 	 
    m 	     3 	     0 	     0 	     2 	     2 	     2 	     0 	     4 	    19 	     0 	     8 	     0 	     0 	     0 	     0 	     2 	     8 	     0 	     0 	     5 	     7 	     0 	    14 	     5 	     0 	     5 	     1 	    16 	     6 	     0 	    19 	  1764 	   224 	    16 	     5 	     0 	     5 	     0 	     0 	    31 	    61 	     0 	     8 	    55 	     0 	   106 	 
    n 	     2 	     0 	     0 	     0 	     2 	     0 	     0 	     5 	    15 	     0 	    10 	     0 	     0 	     0 	     0 	     4 	     1 	     0 	     0 	    11 	     4 	     4 	    61 	    46 	     0 	     2 	    12 	    52 	    10 	     0 	    25 	   214 	  2523 	    12 	     1 	     0 	    18 	     2 	     6 	    10 	    34 	     0 	    15 	   102 	     0 	   157 	 
    o 	     2 	    49 	     0 	     1 	    29 	     0 	     0 	     7 	     4 	     2 	     0 	     0 	     1 	     0 	     0 	     0 	    13 	     0 	     1 	   390 	     2 	     2 	    12 	   161 	     2 	     0 	    49 	    28 	     1 	     3 	   194 	     6 	    21 	  4199 	     4 	     0 	    89 	     1 	     6 	   207 	    23 	     2 	     4 	     0 	     0 	   275 	 
    p 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     2 	     3 	     3 	     0 	     1 	     8 	    55 	    17 	    13 	    10 	    19 	     9 	     0 	     5 	     2 	    49 	     4 	    12 	     3 	    16 	  2001 	     0 	     3 	    22 	   161 	     5 	    21 	     0 	     6 	     0 	     0 	    49 	 
    q 	     0 	     0 	     0 	     0 	     0 	     3 	     0 	     0 	     2 	     0 	     0 	     0 	     0 	     0 	     2 	     0 	     0 	     0 	     0 	     0 	     0 	    10 	     4 	     0 	     0 	     0 	     2 	     0 	     0 	     0 	     0 	     2 	     2 	     0 	     4 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     1 	     0 	     0 	     1 	 
    r 	     0 	     0 	     0 	     2 	     6 	     0 	     2 	     4 	     3 	     0 	     0 	     1 	     0 	    17 	     1 	     1 	     2 	     6 	     2 	    93 	     0 	     2 	    60 	   219 	     2 	     0 	    27 	    27 	    23 	     4 	    85 	     3 	    46 	    79 	     2 	     0 	  1756 	     5 	     1 	    11 	    51 	     0 	    35 	     3 	     0 	   182 	 
    s 	     0 	     2 	     0 	     0 	     0 	    14 	     2 	     0 	     1 	     0 	     0 	     0 	     0 	    20 	    47 	    28 	     1 	     4 	    24 	     2 	     0 	   115 	     5 	     6 	    82 	     0 	     0 	     8 	    18 	    12 	     8 	     3 	     4 	     2 	    13 	     0 	    15 	  2554 	    71 	     2 	    25 	    45 	    79 	     1 	     0 	   164 	 
    t 	     0 	     4 	     0 	     0 	     1 	     5 	     6 	     6 	     2 	     0 	     0 	     0 	     0 	     2 	     0 	    48 	     0 	     2 	     1 	     4 	     8 	   142 	   127 	    12 	     7 	    12 	     2 	     5 	     9 	   104 	    10 	     1 	    22 	     0 	   192 	     2 	    16 	    72 	  2655 	     1 	     8 	     6 	    55 	     4 	     0 	   112 	 
    u 	     0 	    31 	     0 	     0 	     0 	     1 	     0 	     0 	     7 	     0 	     0 	     0 	     0 	     0 	     2 	     0 	   143 	     0 	     2 	    13 	     8 	     0 	     6 	    19 	     2 	     1 	     3 	    23 	     2 	     3 	    39 	    12 	     5 	   379 	     1 	     0 	    23 	     3 	     4 	  1090 	    20 	     0 	     5 	     5 	     0 	    71 	 
    v 	     0 	     5 	     0 	     0 	     0 	     0 	     0 	     3 	     2 	     0 	     0 	     0 	     0 	     2 	     1 	     2 	     7 	     0 	     0 	     2 	    52 	     6 	    35 	     7 	     4 	     8 	    33 	    26 	    46 	     1 	   134 	    75 	    72 	    32 	     9 	     0 	    81 	     6 	    18 	    26 	  1809 	     0 	    75 	     8 	     0 	   136 	 
    x 	     7 	     0 	     0 	     0 	     2 	     3 	     1 	     0 	     3 	     0 	     0 	     0 	     0 	     0 	     8 	     2 	     0 	     6 	     0 	     8 	     2 	    10 	     4 	     8 	    14 	     6 	     8 	     1 	     2 	    33 	     4 	     2 	     2 	     0 	     6 	     0 	    26 	    73 	     0 	     2 	     0 	   422 	     2 	     0 	     0 	    21 	 
    z 	     1 	     2 	     0 	     0 	     0 	     0 	     6 	     0 	    10 	     0 	     0 	     0 	     0 	     6 	     2 	     0 	     2 	    14 	     0 	     8 	    11 	    18 	    77 	    26 	    11 	     8 	    13 	    45 	     9 	     5 	    30 	    10 	    37 	    15 	     6 	     2 	    51 	    30 	    17 	    11 	   131 	    10 	   989 	     8 	     0 	   124 	 
    ~ 	     0 	     0 	     0 	     0 	     0 	     2 	    19 	     0 	    83 	     0 	     4 	     0 	     0 	     0 	     2 	     7 	     0 	     3 	     0 	     0 	     2 	     0 	     0 	    24 	     0 	    12 	     2 	    36 	    31 	     0 	     4 	    97 	    87 	     2 	     0 	     0 	     2 	     0 	     2 	     4 	    10 	     0 	     3 	  1365 	     0 	   156 	 
    _ 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	 
      	    51 	     3 	     0 	     0 	    31 	     9 	     5 	     7 	    90 	     0 	     0 	     0 	     0 	     7 	     5 	     2 	     6 	     6 	     1 	   118 	     6 	    22 	    40 	   165 	     3 	     5 	     0 	   175 	    35 	    45 	    62 	    42 	    73 	   119 	    55 	     0 	    56 	    51 	    69 	    39 	    35 	     9 	    34 	    12 	     0 	     0 	 
